epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,1250.45,1.02728,0.80511,1.0762,0.96374,0.86442,0.93808,0.67945,1.07282,0.7277,1.09135,0.0009506,0.0009506,0.0009506
55,1273.91,0.97613,0.75434,1.03654,0.92761,0.84553,0.8864,0.59766,1.10751,0.8497,1.10968,0.0009308,0.0009308,0.0009308
56,1296.59,0.99756,0.75243,1.05102,0.95888,0.8374,0.94182,0.67743,1.05397,0.75113,1.09533,0.000911,0.000911,0.000911
57,1317.44,0.97789,0.75234,1.06973,0.91903,0.87805,0.93943,0.67454,1.04573,0.74089,1.07462,0.0008912,0.0008912,0.0008912
58,1338.72,0.96536,0.71238,1.04561,0.93005,0.86476,0.93669,0.69281,1.05577,0.71606,1.08022,0.0008714,0.0008714,0.0008714
59,1361.28,0.94447,0.74557,1.02624,0.88249,0.88618,0.92865,0.65867,1.11835,0.7518,1.1043,0.0008516,0.0008516,0.0008516
60,1384.47,0.94689,0.7264,1.02354,0.8841,0.93029,0.94221,0.69266,1.06648,0.79237,1.07911,0.0008318,0.0008318,0.0008318
61,1405.46,0.9278,0.71087,1.02506,0.90339,0.92683,0.94534,0.67637,1.02416,0.73422,1.06849,0.000812,0.000812,0.000812
62,1428.3,0.93011,0.68156,1.02229,0.9186,0.91746,0.96631,0.69974,0.99231,0.67529,1.06496,0.0007922,0.0007922,0.0007922
63,1450.53,0.98833,0.7328,1.06419,0.90881,0.93496,0.95578,0.72635,0.9566,0.68364,1.05129,0.0007724,0.0007724,0.0007724
64,1475.44,0.93228,0.72587,1.0297,0.94048,0.8992,0.95752,0.72834,0.92873,0.66077,1.02259,0.0007526,0.0007526,0.0007526
65,1499.34,0.90979,0.68314,0.99937,0.91512,0.91057,0.957,0.73445,0.91136,0.64411,1.01195,0.0007328,0.0007328,0.0007328
66,1524.37,0.90722,0.69825,1.01795,0.93052,0.87106,0.94992,0.72808,0.91978,0.63908,1.02758,0.000713,0.000713,0.000713
67,1547.17,0.94036,0.71039,1.03367,0.94358,0.81581,0.93885,0.71906,0.91731,0.64451,1.04436,0.0006932,0.0006932,0.0006932
68,1568.87,0.87427,0.64857,0.99159,0.94118,0.9107,0.95648,0.73678,0.88907,0.64436,1.01426,0.0006734,0.0006734,0.0006734
69,1593.46,0.85604,0.68047,1.00691,0.93501,0.93578,0.96811,0.73372,0.86983,0.61278,0.98996,0.0006536,0.0006536,0.0006536
70,1614.52,0.86694,0.69655,1.02976,0.96536,0.90636,0.96187,0.73114,0.89194,0.60608,1.01365,0.0006338,0.0006338,0.0006338
71,1636.71,0.86708,0.64296,0.99761,0.94912,0.91057,0.97368,0.75902,0.86471,0.56262,1.00072,0.000614,0.000614,0.000614
72,1659.22,0.83288,0.59855,0.96518,0.95206,0.9187,0.97734,0.75495,0.89322,0.58475,1.00727,0.0005942,0.0005942,0.0005942
73,1683.2,0.78787,0.61324,0.97579,0.9333,0.95122,0.9785,0.75188,0.86299,0.56405,1.00419,0.0005744,0.0005744,0.0005744
74,1704.91,0.87394,0.64744,1.00748,0.96572,0.9187,0.97733,0.7735,0.84794,0.55225,1.00387,0.0005546,0.0005546,0.0005546
75,1728.38,0.88981,0.6947,0.99514,0.95234,0.94309,0.98199,0.76549,0.86214,0.54632,1.01084,0.0005348,0.0005348,0.0005348
76,1750.97,0.86058,0.61215,0.98423,0.95894,0.96748,0.98787,0.7731,0.86037,0.52701,0.99781,0.000515,0.000515,0.000515
77,1771.54,0.79685,0.58194,0.98113,0.9423,0.97561,0.9888,0.77273,0.87878,0.53952,1.00009,0.0004952,0.0004952,0.0004952
78,1793.14,0.79823,0.59239,0.98049,0.94509,0.97945,0.99062,0.78402,0.83111,0.52362,0.97942,0.0004754,0.0004754,0.0004754
79,1815.41,0.78862,0.57236,0.96131,0.95255,0.97938,0.99156,0.7884,0.82618,0.50452,0.98338,0.0004556,0.0004556,0.0004556
80,1842.36,0.78628,0.59776,0.99292,0.95723,0.96748,0.99034,0.79406,0.82608,0.49898,0.98535,0.0004358,0.0004358,0.0004358
81,1865.52,0.78759,0.54826,0.95397,0.94397,0.95883,0.98789,0.80026,0.80341,0.49611,0.97055,0.000416,0.000416,0.000416
82,1889.25,0.83462,0.6268,1.00118,0.93455,0.97561,0.9886,0.79725,0.76974,0.49458,0.95734,0.0003962,0.0003962,0.0003962
